год,Дел поступило в суды,рассмотрено судами дел (по лицам),возвращено для устранения недостатков протоколов ,дел прекращено,Наказаний всего,юридические,должностные,предприниматели без ЮЛ,физические наказания,предупреждение (письменное),штраф,арест,приостановление деятельности,конфискация,общая сумма наложенных по постановлениям штрафов,Процент прекращённых дел за год,Процент наказаний за год,Процент возвращённых дел за год
2011,95,96,13,18,60,1,13,2.0,44,,60,,,18,140000,18.75,62.5,13.541666666666666
2012,226,217,28,21,152,8,8,3.0,133,,147,3.0,2.0,21,532000,9.67741935483871,70.04608294930875,12.903225806451612
2013,545,545,49,46,398,9,21,16.0,352,,392,5.0,1.0,71,991200,8.440366972477065,73.02752293577981,8.990825688073395
2014,828,826,76,39,665,17,12,28.0,608,,653,10.0,2.0,112,1486500,4.721549636803874,80.50847457627118,9.200968523002421
2015,1404,1399,118,47,1185,13,20,17.0,1135,,1162,23.0,,104,2553500,3.3595425303788424,84.70335954253038,8.434596140100071
2016,1921,1925,135,70,1679,26,24,12.0,1617,1.0,1631,43.0,4.0,114,4729200,3.6363636363636362,87.22077922077922,7.012987012987012
2017,2100,2097,153,68,1846,11,11,4.0,1820,,1783,63.0,,127,3880800,3.2427277062470194,88.03051979017644,7.296137339055794
2018,2270,2268,215,50,1964,5,11,6.0,1942,,1910,52.0,2.0,122,2845501,2.204585537918871,86.59611992945327,9.479717813051145
2019,1844,1836,160,48,1591,6,11,11.0,1563,1.0,1556,34.0,,79,2333700,2.6143790849673203,86.65577342047929,8.714596949891067
2020,2164,2160,216,70,1826,4,11,,1811,,1805,20.0,1.0,59,2359100,3.2407407407407405,84.53703703703704,10.0
2021,1519,1526,144,35,1319,6,15,6.0,1292,,1299,19.0,1.0,57,1816000,2.293577981651376,86.435124508519,9.436435124508519
2022,577,570,35,12,507,0,6,0.0,501,1.0,500,6.0,,18,610801,2.1052631578947367,88.94736842105263,6.140350877192982
