case_doc_subject_rf,predicted_material,size
Алтайский край, 12 песня о аллах мир окутан страшной мглой ,1
Алтайский край, format 18 день здоровья mp4 видеофонограмма продолжительностью 00 мин 49 сек начинается заставкой статическое изображение портрет а гитлера и надпись format18 видеоролик содержит сцену движущихся коротко стриженных лиц среди которых идет максим марцинкевич с малой пехотной лопатой в руках данный человек высказывает сегодня мы хотим пригласить а модников из крылатского на день здоровья в лес давайте посмотрим как у нас это получится и другое видеоролик заканчивается статическим изображением кельтский крест с наружной стороны которого надпись white pride world wide ,1
Алтайский край, kaffa девочка чернильница продолжительностью 04мин 16сек ,3
Алтайский край, акустическое сопровождение и комментарий пользователя видеофайла под названием русский очнись против тебя идет война ,1
Алтайский край, аудиозапись дюшес я рисую белым мелом 14 88 ,1
Алтайский край, аудиофайл д и в давай гуляй ,2
Алтайский край, банда москвы иммигрант ,1
Алтайский край, видеозапись скинхеды сжигают общагу чеченов ,1
Алтайский край, видеоролик тесак против эдуарда багирова допи делся нец временной продолжительностью 8 минут 32 секунды по 99984588 ,1
Алтайский край, задумайтесь славяне ,1
Алтайский край, казнь хачей теги скинхеды самосуд хачи аудиозаписи коррозия металла лучше мертвый чем живой коррозия металла грязный город коррозия металла я шагаю по москве коррозия металла свобода или смерть в вконтакте информационно телекоммуникационной интернет на пользователя ,1
Алтайский край, коловрат девятый вал,2
Алтайский край, коловрат не покупай у чурок ,1
Алтайский край, коловрат скинхеды мр 3 хор сс сопротивляйся мр 3 хорсс rahowa мр 3 хорсс арматура мр3 хорсс бой мр 3 хорсс время пришло мр 3 хорсс арийский штурмовик мр 3 находящиеся в сайта вконтакте в группе расположенной по адресу 45276843 по на роман фокинский и на пользователя вадим криутин ,1
Алтайский край, коловрат тотальная война продолжительностью 7 мин 45 сек начинающийся со слов это война и заканчивающийся словами час последней схватки приближается где нас гибель или свобода ждет являющегося музыкальной композицией аудиофайлом в том числе его текстовый вариант ,1
Алтайский край, припомним жуликам и ворам их манифест 2002 ,39
Алтайский край, русский стяг мы русские люди ,3
Алтайский край, текст если русские встанут кавказ ляжет крупным шрифтом мы за сильную россию за великую русь ,1
Алтайский край, текстовая часть аудиозаписи sel mi на стягу коловрат всем славянам длительностью 03 минуты 08 секунд начинающаяся словами мы стали сплочённее за плечами четверть века и заканчивающаяся словами стирая границы ох погуляют славяне размещенная пользователем владимир мартынов на официальном интернет на веб сервисе сайта вконтакте ,4
Алтайский край, текстовый под заголовком принятая на московском конгрессе сионистов в августе 1898 года программа уничтожения русской нации другое название программа сионистов в отношении россии начинающийся словами i удержание власти заканчивающийся словами а в сумме для сокращения численности гоев ,1
Алтайский край, уильям пирс за что ненавидят евреев,1
Алтайский край, это видео кондопога запрещено к показу фсб ,1
Алтайский край,cтатья под названием что нам делать и комментарии к ней опубликованные в период с 14 сентября 2012 года по 21 сентября 2012 года на ,1
Алтайский край,аудиовизуальный под названием формат 18 отп ли чурок продолжительностью 1 мин 31 сек начинающийся с изображения а гитлера и заканчивающийся появлением на фоне трех полос белого желтого и черного цветов надписи оставайся белым 14 88 сопровождающийся мелодией из телепрограммы в мире животных на интернет страницах ,1
Алтайский край,аудиозаписи коррозия металла нигер skinhead generation zig heil ,1
Алтайский край,аудиозаписи околореп зигазага ой коловрат зига зага пам пам в в контакте ,1
Алтайский край,аудиозаписи под названием русский стяг я славянин mp3 русский стяг убей ,1
Алтайский край,аудиозаписи с названиями коловрат россия принадлежит нам mp 3 русский стяг марш жестокой молодости mp 3 ,1
Алтайский край,аудиозапись cwt бойцовский клуб ,3
